,missing_percent
FVGREEN,7.054718332393679
WTKG3,7.0111387081536565
FVBEANS,6.847181800173709
FRUIT1,6.572599692199857
FRUITJU1,6.319959772654547
HTIN4,3.876758041659683
ALCDAY5,3.58541453974736
HTM4,3.46442775077331
USENOW3,3.354412056013531
SMOKE100,3.212397336462127
DIFFALON,3.0054703094762827
DIFFDRES,2.87442668413915
DIFFWALK,2.788181693510293
DECIDE,2.6598808417267286
BLIND,2.5273134533042803
USEEQUIP,2.3596995139195758
QLACTLM2,2.1128498940984657
_RACE_G1,1.6572447315891323
HEIGHT3,1.3430447833970773
WEIGHT2,1.2025538269309888
INTERNET,0.9773416429213586
INCOME2,0.7530437167629177
_DRDXAR1,0.5738491779298155
_LMTSCL1,0.5738491779298155
_LMTWRK1,0.5738491779298155
_LMTACT1,0.5738491779298155
_STRWT,0.006704557575388179
QSTLANG,0.004266536638883386
DIABETE3,0.0015237630853154951
CHILDREN,0.000914257851189297
GENHLTH,0.000609505234126198
HAVARTH3,0.000304752617063099
MEDCOST,0.000304752617063099
BPHIGH4,0.000304752617063099
CHECKUP1,0.000304752617063099
VETERAN3,0.000304752617063099
PHYSHLTH,0.000304752617063099
CHCSCNCR,0.000304752617063099
